stopword_clean_content,intensity,stopword_clean_count,segmented_content,expanded_content,spell_checked_content,stem_lemma_content,stem_lemma_count
tried tried give refuse perfect friend people cant treat respect,angriness,10,tried tried give refuse perfect friend people cant treat respect,tried tried give refuse perfect friend people cannot treat respect,tried tried give refuse perfect friend people can not treat respect,tri give refus perfect friend peopl can not treat respect,10
clear lost importance life,angriness,4,clear lost importance life,clear lost importance life,clear lost importance life,clear lost import life,4
follow heart see land,angriness,4,follow heart see land,follow heart see land,follow heart see land,follow heart see land,4
dont make many promises cant even keep,angriness,7,dont make many promises cant even keep,do not make many promises cannot even keep,do not make many promises can not even keep,do not make mani promis can even keep,8
excuse cheating relationship,angriness,3,excuse cheating relationship,excuse cheating relationship,excuse cheating relationship,excus cheat relationship,3
dont regret past regret time wasted wrong people,angriness,8,dont regret past regret time wasted wrong people,do not regret past regret time wasted wrong people,do not regret past regret time wasted wrong people,do not regret past time wast wrong peopl,8
things never forgotten forgiven,angriness,4,things never forgotten forgiven,things never forgotten forgiven,things never forgotten forgiven,thing never forgotten forgiven,4
get know guys like dogs,angriness,5,get know guys like dogs,get know guys like dogs,get know guys like dogs,get know guy like dog,5
dont need manage anger people need manage stupidity,angriness,8,dont need manage anger people need manage stupidity,do not need manage anger people need manage stupidity,do not need manage anger people need manage stupidity,do not need manag anger peopl stupid,7
dont care anyone doesnt like wasnt put earth entertain everyone,angriness,10,dont care anyone doesnt like wasnt put earth entertain everyone,do not care anyone does not like was not put earth entertain everyone,do not care anyone does not like was not put earth entertain everyone,do not care anyon doe like wa put earth entertain everyon,11
told needed told wasnt lying didnt tell truth,angriness,8,told needed told wasnt lying didnt tell truth,told needed told was not lying did not tell truth,told needed told was not lying did not tell truth,told need wa not lie did tell truth,8
life choices problems mistakes lessons,angriness,5,life choices problems mistakes lessons,life choices problems mistakes lessons,life choice problems mistakes lessons,life choic problem mistak lesson,5
friends like pennies twofaced worthless,angriness,5,friends like pennies two faced worthless,friends like pennies two faced worthless,friends like pennies two faced worthless,friend like penni two face worthless,6
business mind problems talk mine,angriness,5,business mind problems talk mine,business mind problems talk mine,business mind problems talk mine,busi mind problem talk mine,5
never get fights ugly people nothing lose,angriness,7,never get fights ugly people nothing lose,never get fights ugly people nothing lose,never get fights ugly people nothing lose,never get fight ugli peopl noth lose,7
angry text speed increases ridiculous amount,angriness,6,angry text speed increases ridiculous amount,angry text speed increases ridiculous amount,angry text speed increases ridiculous amount,angri text speed increas ridicul amount,6
actions speak louder words words dont mean anything actions telling different,angriness,11,actions speak louder words words dont mean anything actions telling different,actions speak louder words words do not mean anything actions telling different,actions speak louder words words do not mean anything actions telling different,action speak louder word do not mean anyth tell differ,10
definition thanks experience time expired exit life,angriness,7,definition thanks experience time expired exit life,definition thanks experience time expired exit life,definition thanks experience time expired exit life,definit thank experi time expir exit life,7
text want conversation get word answers,angriness,6,text want conversation get word answers,text want conversation get word answers,text want conversation get word answers,text want convers get word answer,6
never forget someone says angry thats truth comes,angriness,8,never forget someone says angry thats truth comes,never forget someone says angry thats truth comes,never forget someone says angry that truth comes,never forget someon say angri that truth come,8
people need open small minds instead big mouths,angriness,8,people need open small minds instead big mouths,people need open small minds instead big mouths,people need open small minds instead big mouths,peopl need open small mind instead big mouth,8
sucks realise rejected people person wasted time,angriness,7,sucks realise rejected people person wasted time,sucks realise rejected people person wasted time,sucks realise rejected people person wasted time,suck realis reject peopl person wast time,7
anger letter short danger,angriness,4,anger letter short danger,anger letter short danger,anger letter short danger,anger letter short danger,4
man big things make angry stopped believing,angriness,7,man big things make angry stopped believing,man big things make angry stopped believing,man big things make angry stopped believing,man big thing make angri stop believ,7
singing youre angry know punch face,angriness,6,singing your e angry know punch face,singing your e angry know punch face,singing your e angry know punch face,sing your e angri know punch face,7
dont get mad smile creep instead,angriness,6,dont get mad smile creep instead,do not get mad smile creep instead,do not get mad smile creep instead,do not get mad smile creep instead,7
ever want slap stupid someone,angriness,5,ever want slap stupid someone,ever want slap stupid someone,ever want slap stupid someone,ever want slap stupid someon,5
quiet doesnt mean mad,angriness,4,quiet doesnt mean mad,quiet does not mean mad,quiet does not mean mad,quiet doe not mean mad,5
getting close walking away,angriness,4,getting close walking away,getting close walking away,getting close walking away,get close walk away,4
may kill morning,angriness,3,may kill morning,may kill morning,may kill morning,may kill morn,3
anger makes dull men witty keeps poor,angriness,7,anger makes dull men witty keeps poor,anger makes dull men witty keeps poor,anger makes dull men witty keeps poor,anger make dull men witti keep poor,7
dont get mad get even,angriness,5,dont get mad get even,do not get mad get even,do not get mad get even,do not get mad even,5
whatever begun anger ends shame,angriness,5,whatever begun anger ends shame,whatever begun anger ends shame,whatever begun anger ends shame,whatev begun anger end shame,5
anger temporary madness,angriness,3,anger temporary madness,anger temporary madness,anger temporary madness,anger temporari mad,3
anger soon fed dead starving makes fat,angriness,7,anger soon fed dead starving makes fat,anger soon fed dead starving makes fat,anger soon fed dead starving makes fat,anger soon fed dead starv make fat,7
anger fear disguise,angriness,3,anger fear disguise,anger fear disguise,anger fear disguise,anger fear disguis,3
anger blows lamp mind,angriness,4,anger blows lamp mind,anger blows lamp mind,anger blows lamp mind,anger blow lamp mind,4
anger always comes frustrated expectations,angriness,5,anger always comes frustrated expectations,anger always comes frustrated expectations,anger always comes frustrated expectations,anger alway come frustrat expect,5
angry man opens mouth shuts eyes,angriness,6,angry man opens mouth shut s eyes,angry man opens mouth shut s eyes,angry man opens mouth shut s eyes,angri man open mouth shut s eye,7
never bed angry stay awake plot revenge,angriness,7,never bed angry stay awake plot revenge,never bed angry stay awake plot revenge,never bed angry stay awake plot revenge,never bed angri stay awak plot reveng,7
anger lies lasts forever anger truth cant last,angriness,8,anger lies lasts for ever anger truth cant last,anger lies lasts for ever anger truth cannot last,anger lies lasts for ever anger truth can not last,anger lie last for ever truth can not last,9
never regret something made smile,angriness,5,never regret something made smile,never regret something made smile,never regret something made smile,never regret someth made smile,5
opposite anger calmness empathy,angriness,4,opposite anger calmness empathy,opposite anger calmness empathy,opposite anger calmness empathy,opposit anger calm empathi,4
anger kill even feather gently blowing wind,angriness,7,anger kill even feather gently blowing wind,anger kill even feather gently blowing wind,anger kill even feather gently blowing wind,anger kill even feather gentl blow wind,7
anger punishment give ouself someone elses mistake,angriness,7,anger punishment give ou self someone elses mistake,anger punishment give ou self someone elses mistake,anger punishment give ou self someone else mistake,anger punish give ou self someon el mistak,8
grew lots anger frustration violence heart,angriness,6,grew lots anger frustration violence heart,grew lots anger frustration violence heart,grew lots anger frustration violence heart,grew lot anger frustrat violenc heart,6
three type people tell truth kids drunk angry,angriness,8,three type people tell truth kids drunk angry,three type people tell truth kids drunk angry,three type people tell truth kids drunk angry,three type peopl tell truth kid drunk angri,8
dont usually lose temper true scary,angriness,6,dont usually lose temper true scary,do not usually lose temper true scary,do not usually lose temper true scary,do not usual lose temper true scari,7
try manage anger since people cant manage stupidity,angriness,8,try manage anger since people cant manage stupidity,try manage anger since people cannot manage stupidity,try manage anger since people can not manage stupidity,tri manag anger sinc peopl can not stupid,8
anger intolerance enemies correct understanding,angriness,5,anger intolerance enemies correct understanding,anger intolerance enemies correct understanding,anger intolerance enemies correct understanding,anger intoler enemi correct understand,5
every minute angry lose sixty seconds happiness,angriness,7,every minute angry lose sixty seconds happiness,every minute angry lose sixty seconds happiness,every minute angry lose sixty seconds happiness,everi minut angri lose sixti second happi,7
nobody makes angry decide use anger response,angriness,7,nobody makes angry decide use anger response,nobody makes angry decide use anger response,nobody makes angry decide use anger response,nobodi make angri decid use anger respons,7
sometimes want treat people treat cant thats character,angriness,8,sometimes want treat people treat cant thats character,sometimes want treat people treat cannot thats character,sometimes want treat people treat can not that character,sometim want treat peopl can not that charact,8
make anger expensive afford make happiness cheap people almost get free,angriness,11,make anger expensive afford make happiness cheap people almost get free,make anger expensive afford make happiness cheap people almost get free,make anger expensive afford make happiness cheap people almost get free,make anger expens afford happi cheap peopl almost get free,10
control anger letter away anger,angriness,5,control anger letter away anger,control anger letter away anger,control anger letter away anger,control anger letter away,4
angry take deep breath speak mouth acts quicker brain,angriness,9,angry take deep breath speak mouth acts quicker brain,angry take deep breath speak mouth acts quicker brain,angry take deep breath speak mouth acts quicker brain,angri take deep breath speak mouth act quicker brain,9
anger fuel losing control,angriness,4,anger fuel losing control,anger fuel losing control,anger fuel losing control,anger fuel lose control,4
dont need anger management need stop making angry,angriness,8,dont need anger management need stop making angry,do not need anger management need stop making angry,do not need anger management need stop making angry,do not need anger manag stop make angri,8
anger destroys repairs,angriness,3,anger destroys repairs,anger destroys repairs,anger destroys repairs,anger destroy repair,3
angry silenty,angriness,2,angry silent y,angry silent y,angry silent y,angri silent y,3
sometimes middle finger isnt enough let someone know feel thats hands,angriness,11,sometimes middle finger isnt enough let someone know feel thats hands,sometimes middle finger is not enough let someone know feel thats hands,sometimes middle finger is not enough let someone know feel that hands,sometim middl finger is not enough let someon know feel that hand,12
people need open small minds instead big mouths,angriness,8,people need open small minds instead big mouths,people need open small minds instead big mouths,people need open small minds instead big mouths,peopl need open small mind instead big mouth,8
dont try please people end know wont work,angriness,8,dont try please people end know wont work,do not try please people end know will not work,do not try please people end know will not work,do not tri plea peopl end know will work,9
takes lot energy get angry dont care use energy way,angriness,10,takes lot energy get angry dont care use energy way,takes lot energy get angry do not care use energy way,takes lot energy get angry do not care use energy way,take lot energi get angri do not care use way,10
sometimes mood talk,angriness,3,sometimes mood talk,sometimes mood talk,sometimes mood talk,sometim mood talk,3
may look calm head killed times,angriness,6,may look calm head killed times,may look calm head killed times,may look calm head killed times,may look calm head kill time,6
stopped believing,angriness,2,stopped believing,stopped believing,stopped believing,stop believ,2
people change things wrong shit happens life goes,angriness,8,people change things wrong shit happens life goes,people change things wrong shit happens life goes,people change things wrong shit happens life goes,peopl chang thing wrong shit happen life goe,8
wouldnt manage anger people could learn manage stupidity,angriness,8,wouldnt manage anger people could learn manage stupidity,would not manage anger people could learn manage stupidity,would not manage anger people could learn manage stupidity,would not manag anger peopl could learn stupid,8
person complain harder ill try annoy,angriness,6,person complain harder ill try annoy,person complain harder ill try annoy,person complain harder ill try annoy,person complain harder ill tri annoy,6
facebook accounts face,angriness,3,facebook accounts face,facebook accounts face,facebook accounts face,facebook account face,3
dont put words mouth got plenty say dont tell live life things way,angriness,13,dont put words mouth got plenty say dont tell live life things way,do not put words mouth got plenty say do not tell live life things way,do not put words mouth got plenty say do not tell live life things way,do not put word mouth got plenti say tell live life thing way,13
cant trust anybody days think good friend till turn around realize knife nches deep back,angriness,15,cant trust anybody days think good friend till turn around realize knife nches deep back,cannot trust anybody days think good friend till turn around realize knife nches deep back,can not trust anybody days think good friend till turn around realize knife nches deep back,can not trust anybodi day think good friend till turn around realiz knife nches deep back,16
would manage anger people would manage stupidity,angriness,7,would manage anger people would manage stupidity,would manage anger people would manage stupidity,would manage anger people would manage stupidity,would manag anger peopl stupid,5
dont happy dont really forgive people pretend like ok wait turn destroy,angriness,12,dont happy dont really forgive people pretend like ok wait turn destroy,do not happy do not really forgive people pretend like ok wait turn destroy,do not happy do not really forgive people pretend like ok wait turn destroy,do not happi realli forgiv peopl pretend like ok wait turn destroy,12
delete block keeping able see happy without,angriness,7,delete block keeping able see happy without,delete block keeping able see happy without,delete block keeping able see happy without,delet block keep abl see happi without,7
ahead judge remember perfect rest life,angriness,6,ahead judge remember perfect rest life,ahead judge remember perfect rest life,ahead judge remember perfect rest life,ahead judg rememb perfect rest life,6
silence doesnt mean quit simply means dont want argue people dont want understand,angriness,13,silence doesnt mean quit simply means dont want argue people dont want understand,silence does not mean quit simply means do not want argue people do not want understand,silence does not mean quit simply means do not want argue people do not want understand,silenc doe not mean quit simpli mean do want argu peopl understand,12
goes around comes around thats people say pain caused come back someday,angriness,12,goes around comes around thats people say pain caused come back someday,goes around comes around thats people say pain caused come back someday,goes around comes around that people say pain caused come back someday,goe around come that peopl say pain caus come back someday,11
delete block keeping able see happy without,angriness,7,delete block keeping able see happy without,delete block keeping able see happy without,delete block keeping able see happy without,delet block keep abl see happi without,7
text want conversation get word answers,angriness,6,text want conversation get word answers,text want conversation get word answers,text want conversation get word answers,text want convers get word answer,6
definition thanks experience time expired exit life,angriness,7,definition thanks experience time expired exit life,definition thanks experience time expired exit life,definition thanks experience time expired exit life,definit thank experi time expir exit life,7
actions speak louder words words dont mean anything actions telling different,angriness,11,actions speak louder words words dont mean anything actions telling different,actions speak louder words words do not mean anything actions telling different,actions speak louder words words do not mean anything actions telling different,action speak louder word do not mean anyth tell differ,10
never get fights ugly people nothing lose,angriness,7,never get fights ugly people nothing lose,never get fights ugly people nothing lose,never get fights ugly people nothing lose,never get fight ugli peopl noth lose,7
life choices problems mistakes lessons business mind problems talk mine,angriness,10,life choices problems mistakes lessons business mind problems talk mine,life choices problems mistakes lessons business mind problems talk mine,life choice problems mistakes lessons business mind problems talk mine,life choic problem mistak lesson busi mind talk mine,9
dont make many promises cant even keep,angriness,7,dont make many promises cant even keep,do not make many promises cannot even keep,do not make many promises can not even keep,do not make mani promis can even keep,8
told needed told wasnt lying didnt tell truth,angriness,8,told needed told wasnt lying didnt tell truth,told needed told was not lying did not tell truth,told needed told was not lying did not tell truth,told need wa not lie did tell truth,8
get know guys like dogs,angriness,5,get know guys like dogs,get know guys like dogs,get know guys like dogs,get know guy like dog,5
dont regret past regret time wasted wrong people,angriness,8,dont regret past regret time wasted wrong people,do not regret past regret time wasted wrong people,do not regret past regret time wasted wrong people,do not regret past time wast wrong peopl,8
excuse cheating relationship,angriness,3,excuse cheating relationship,excuse cheating relationship,excuse cheating relationship,excus cheat relationship,3
dont leave alone going pop head shit neck,angriness,8,dont leave alone going pop head shit neck,do not leave alone going pop head shit neck,do not leave alone going pop head shit neck,do not leav alon go pop head shit neck,9
arguing explaining right,angriness,3,arguing explaining right,arguing explaining right,arguing explaining right,argu explain right,3
getting angry doesnt solve anything,angriness,5,getting angry doesnt solve anything,getting angry does not solve anything,getting angry does not solve anything,get angri doe not solv anyth,6
holding onto anger like drinking poison expecting anther person die,angriness,10,holding onto anger like drinking poison expecting anther person die,holding onto anger like drinking poison expecting anther person die,holding onto anger like drinking poison expecting another person die,hold onto anger like drink poison expect anoth person die,10
dont know people fake whole relationship cant even fake hello somebody dont like,angriness,13,dont know people fake whole relationship cant even fake hello somebody dont like,do not know people fake whole relationship cannot even fake hello somebody do not like,do not know people fake whole relationship can not even fake hello somebody do not like,do not know peopl fake whole relationship can even hello somebodi like,12
dont let ending ugly cant remember beautiful beginning,angriness,8,dont let ending ugly cant remember beautiful beginning,do not let ending ugly cannot remember beautiful beginning,do not let ending ugly can not remember beautiful beginning,do not let end ugli can rememb beauti begin,9
sometimes bite someone remind everyone teeth,angriness,6,sometimes bite someone remind everyone teeth,sometimes bite someone remind everyone teeth,sometimes bite someone remind everyone teeth,sometim bite someon remind everyon teeth,6
sometimes people shut dont anything positive say,angriness,7,sometimes people shut dont anything positive say,sometimes people shut do not anything positive say,sometimes people shut do not anything positive say,sometim peopl shut do not anyth posit say,8
best angry status make realize angry status guys top anger status girls,angriness,12,best angry status make realize angry status guys top anger status girls,best angry status make realize angry status guys top anger status girls,best angry status make realize angry status guys top anger status girls,best angri status make realiz guy top anger girl,9
angry status guys,angriness,3,angry status guys,angry status guys,angry status guys,angri status guy,3
top anger status girls,angriness,4,top anger status girls,top anger status girls,top anger status girls,top anger status girl,4
angry captions instagram,angriness,3,angry captions insta gram,angry captions insta gram,angry captions insta gram,angri caption insta gram,4
angry status images,angriness,3,angry status images,angry status images,angry status images,angri status imag,3
need get angry pissed upset frustrated irritated reason dont ask cuz dont know,angriness,13,need get angry pissed upset frustrated irritated reason dont ask cuz dont know,need get angry pissed upset frustrated irritated reason do not ask cause do not know,need get angry pissed upset frustrated irritated reason do not ask cause do not know,need get angri piss upset frustrat irrit reason do not ask caus know,13
comes point life realize youre tired trying time cut losses let reached point,angriness,13,comes point life realize youre tired trying time cut losses let reached point,comes point life realize you are tired trying time cut losses let reached point,comes point life realize you are tired trying time cut losses let reached point,come point life realiz you are tire tri time cut loss let reach,13
dont test patienceif lose patience become patient,angriness,7,dont test patience if lose patience become patient,do not test patience if lose patience become patient,do not test patience if lose patience become patient,do not test patienc if lose becom patient,8
days want rub peoples face cheese grater,angriness,7,days want rub peoples face cheese grater,days want rub peoples face cheese grater,days want rub peoples face cheese grater,day want rub peopl face chees grater,7
seems like past weeks long bad day,angriness,7,seems like past weeks long bad day,seems like past weeks long bad day,seems like past weeks long bad day,seem like past week long bad day,7
thinks would really nice sit cactus,angriness,6,thinks would really nice sit cactus,thinks would really nice sit cactus,thinks would really nice sit cactus,think would realli nice sit cactus,6
anger acid harm vessel stored anything poured really dont care,angriness,10,anger acid harm vessel stored anything poured really dont care,anger acid harm vessel stored anything poured really do not care,anger acid harm vessel stored anything poured really do not care,anger acid harm vessel store anyth pour realli do not care,11
actually dont need control anger everyone around needs control habit pissing,angriness,11,actually dont need control anger everyone around needs control habit pissing,actually do not need control anger everyone around needs control habit pissing,actually do not need control anger everyone around needs control habit pissing,actual do not need control anger everyon around need habit piss,11
think stupid people put planet test anger management skills,angriness,9,think stupid people put planet test anger management skills,think stupid people put planet test anger management skills,think stupid people put planet test anger management skills,think stupid peopl put planet test anger manag skill,9
good woman doesnt get angry sure hell doesnt get even gets keeps moving,angriness,13,good woman doesnt get angry sure hell doesnt get even gets keeps moving,good woman does not get angry sure hell does not get even gets keeps moving,good woman does not get angry sure hell does not get even gets keeps moving,good woman doe not get angri sure hell even get keep move,12
people dont listen wait turn talk,angriness,6,people dont listen wait turn talk,people do not listen wait turn talk,people do not listen wait turn talk,peopl do not listen wait turn talk,7
stupid believe boy like could love girl like,angriness,8,stupid believe boy like could love girl like,stupid believe boy like could love girl like,stupid believe boy like could love girl like,stupid believ boy like could love girl,7
stress someone wont even text see youre alright,angriness,8,stress someone wont even text see your e alright,stress someone will not even text see your e alright,stress someone will not even text see your e alright,stress someon will not even text see your e alright,10
cup tea drink coffee,angriness,4,cup tea drink coffee,cup tea drink coffee,cup tea drink coffee,cup tea drink coffe,4
dont give easily someone finally done nothing youll ever bring back,angriness,11,dont give easily someone finally done nothing youll ever bring back,do not give easily someone finally done nothing you will ever bring back,do not give easily someone finally done nothing you will ever bring back,do not give easili someon final done noth you will ever bring back,13
dont time hate anyone forget,angriness,5,dont time hate anyone forget,do not time hate anyone forget,do not time hate anyone forget,do not time hate anyon forget,6
choose people choose,angriness,3,choose people choose,choose people choose,choose people choose,choos peopl,2
someone breaks heart punch face seriously punch faceand get icecream,angriness,10,someone breaks heart punch face seriously punch face and get ice cream,someone breaks heart punch face seriously punch face and get ice cream,someone breaks heart punch face seriously punch face and get ice cream,someon break heart punch face serious and get ice cream,10
dont hate lost reason love,angriness,5,dont hate lost reason love,do not hate lost reason love,do not hate lost reason love,do not hate lost reason love,6
didnt lose lost youll search inside everyone youre wont found rhsin,angriness,11,didnt lose lost youll search inside everyone your e wont found rhs in,did not lose lost you will search inside everyone your e will not found rhs in,did not lose lost you will search inside everyone your e will not found ras in,did not lose lost you will search insid everyon your e found ra in,14
didnt stop loving decided stop showing matter hard tried wouldnt get,angriness,11,didnt stop loving decided stop showing matter hard tried wouldnt get,did not stop loving decided stop showing matter hard tried would not get,did not stop loving decided stop showing matter hard tried would not get,did not stop love decid show matter hard tri would get,11
lot reasons give still chose stay lot reasons stay chose give,angriness,11,lot reasons give still chose stay lot reasons stay chose give,lot reasons give still chose stay lot reasons stay chose give,lot reasons give still chose stay lot reasons stay chose give,lot reason give still chose stay,6
little bitter today sorry offend anyone right mood really dont care,angriness,11,little bitter today sorry offend anyone right mood really dont care,little bitter today sorry offend anyone right mood really do not care,little bitter today sorry offend anyone right mood really do not care,littl bitter today sorri offend anyon right mood realli do not care,12
dont chat bored bitch please entertainment,angriness,6,dont chat bored bitch please entertainment,do not chat bored bitch please entertainment,do not chat bored bitch please entertainment,do not chat bore bitch plea entertain,7
dont care anyone doesnt like wasnt put earth entertain everyone,angriness,10,dont care anyone doesnt like wasnt put earth entertain everyone,do not care anyone does not like was not put earth entertain everyone,do not care anyone does not like was not put earth entertain everyone,do not care anyon doe like wa put earth entertain everyon,11
sometimes mood talk,angriness,3,sometimes mood talk,sometimes mood talk,sometimes mood talk,sometim mood talk,3
delete block keeping able see happy without,angriness,7,delete block keeping able see happy without,delete block keeping able see happy without,delete block keeping able see happy without,delet block keep abl see happi without,7
may look calm head killed times,angriness,6,may look calm head killed times,may look calm head killed times,may look calm head killed times,may look calm head kill time,6
anger temporary madness,angriness,3,anger temporary madness,anger temporary madness,anger temporary madness,anger temporari mad,3
anger great force control transmuted power move whole world,angriness,9,anger great force control transmuted power move whole world,anger great force control transmuted power move whole world,anger great force control transmuted power move whole world,anger great forc control transmut power move whole world,9
dont try please people end know wont work,angriness,8,dont try please people end know wont work,do not try please people end know will not work,do not try please people end know will not work,do not tri plea peopl end know will work,9
youre going talk behind back dont smile face,angriness,8,your e going talk behind back dont smile face,your e going talk behind back do not smile face,your e going talk behind back do not smile face,your e go talk behind back do not smile face,10
never forget someone says angry thats truth comes,angriness,8,never forget someone says angry thats truth comes,never forget someone says angry thats truth comes,never forget someone says angry that truth comes,never forget someon say angri that truth come,8
better cry angry anger hurts others tears flow silently soul cleanness heart,angriness,12,better cry angry anger hurts others tears flow silently soul cleanness heart,better cry angry anger hurts others tears flow silently soul cleanness heart,better cry angry anger hurts others tears flow silently soul clearness heart,better cri angri anger hurt other tear flow silent soul clear heart,12
sometimes middle finger isnt enough let someone know feel thats hands,angriness,11,sometimes middle finger isnt enough let someone know feel thats hands,sometimes middle finger is not enough let someone know feel thats hands,sometimes middle finger is not enough let someone know feel that hands,sometim middl finger is not enough let someon know feel that hand,12
anger acid harm vessel stored anything poured,angriness,7,anger acid harm vessel stored anything poured,anger acid harm vessel stored anything poured,anger acid harm vessel stored anything poured,anger acid harm vessel store anyth pour,7
definition thanks experience time expired exit life,angriness,7,definition thanks experience time expired exit life,definition thanks experience time expired exit life,definition thanks experience time expired exit life,definit thank experi time expir exit life,7
anger dwells bosom fools,angriness,4,anger dwells bosom fools,anger dwells bosom fools,anger dwells bosom fools,anger dwell bosom fool,4
anger soon fed dead starving makes fat,angriness,7,anger soon fed dead starving makes fat,anger soon fed dead starving makes fat,anger soon fed dead starving makes fat,anger soon fed dead starv make fat,7
dont happy dont really forgive people pretend like ok wait turn destroy,angriness,12,dont happy dont really forgive people pretend like ok wait turn destroy,do not happy do not really forgive people pretend like ok wait turn destroy,do not happy do not really forgive people pretend like ok wait turn destroy,do not happi realli forgiv peopl pretend like ok wait turn destroy,12
person lots anger inside definitely loves people anyone else red color indicates anger indicates love,angriness,15,person lots anger inside definitely loves people anyone else red color indicates anger indicates love,person lots anger inside definitely loves people anyone else red color indicates anger indicates love,person lots anger inside definitely loves people anyone else red color indicates anger indicates love,person lot anger insid definit love peopl anyon el red color indic love,13
people pretend care get better seat watch struggle every helping hand always help,angriness,13,people pretend care get better seat watch struggle every helping hand always help,people pretend care get better seat watch struggle every helping hand always help,people pretend care get better seat watch struggle every helping hand always help,peopl pretend care get better seat watch struggl everi help hand alway help,13
people tell truth someone angry someone loves,angriness,7,people tell truth someone angry someone loves,people tell truth someone angry someone loves,people tell truth someone angry someone loves,peopl tell truth someon angri love,6
anger natural defense pain say hate really means hurt,angriness,9,anger natural defense pain say hate really means hurt,anger natural defense pain say hate really means hurt,anger natural defense pain say hate really means hurt,anger natur defens pain say hate realli mean hurt,9
feelings much like waves cant stop coming choose ones surf,angriness,10,feelings much like waves cant stop coming choose ones surf,feelings much like waves cannot stop coming choose ones surf,feelings much like waves can not stop coming choose ones surf,feel much like wave can not stop come choos one surf,11
want hear whole truth make neighbor angry,angriness,7,want hear whole truth make neighbor angry,want hear whole truth make neighbor angry,want hear whole truth make neighbor angry,want hear whole truth make neighbor angri,7
every minute angry lose sixty seconds happiness think,angriness,8,every minute angry lose sixty seconds happiness think,every minute angry lose sixty seconds happiness think,every minute angry lose sixty seconds happiness think,everi minut angri lose sixti second happi think,8
hating wont make pretty,angriness,4,hating wont make pretty,hating will not make pretty,hating will not make pretty,hate will not make pretti,5
anger letter short danger,angriness,4,anger letter short danger,anger letter short danger,anger letter short danger,anger letter short danger,4
changed changed,angriness,2,changed changed,changed changed,changed changed,chang,1
anger power dont make angry,angriness,5,anger power dont make angry,anger power do not make angry,anger power do not make angry,anger power do not make angri,6
even nicest people limits,angriness,4,even nicest people limits,even nicest people limits,even nicest people limits,even nicest peopl limit,4
whatever begun anger ends shame,angriness,5,whatever begun anger ends shame,whatever begun anger ends shame,whatever begun anger ends shame,whatev begun anger end shame,5
dont make angry change status,angriness,5,dont make angry change status,do not make angry change status,do not make angry change status,do not make angri chang status,6
silence best way react angry,angriness,5,silence best way react angry,silence best way react angry,silence best way react angry,silenc best way react angri,5
chapter life turn page move,angriness,5,chapter life turn page move,chapter life turn page move,chapter life turn page move,chapter life turn page move,5
people get angry remind hes kid,angriness,6,people get angry remind hes kid,people get angry remind hes kid,people get angry remind hes kid,peopl get angri remind he kid,6
someone angry laugh win,angriness,4,someone angry laugh win,someone angry laugh win,someone angry laugh win,someon angri laugh win,4
nobody makes angry decide use anger response,angriness,7,nobody makes angry decide use anger response,nobody makes angry decide use anger response,nobody makes angry decide use anger response,nobodi make angri decid use anger respons,7
miss true doesnt mean forget lies,angriness,6,miss true doesnt mean forget lies,miss true does not mean forget lies,miss true does not mean forget lies,miss true doe not mean forget lie,7
silence doesnt mean quit simply means dont want argue people dont want understand,angriness,13,silence doesnt mean quit simply means dont want argue people dont want understand,silence does not mean quit simply means do not want argue people do not want understand,silence does not mean quit simply means do not want argue people do not want understand,silenc doe not mean quit simpli mean do want argu peopl understand,12
phone screen brighter future,angriness,4,phone screen brighter future,phone screen brighter future,phone screen brighter future,phone screen brighter futur,4
man man man good man way man man keep man man idiot man busy man man man seconds man read without man,angriness,22,man man man good man way man man keep man man idiot man busy man man man seconds man read without man,man man man good man way man man keep man man idiot man busy man man man seconds man read without man,man man man good man way man man keep man man idiot man busy man man man seconds man read without man,man good way keep idiot busi second read without,9
fail feels shame steps away success,angriness,6,fail feels shame steps away success,fail feels shame steps away success,fail feels shame steps away success,fail feel shame step away success,6
listen people angry real truth comes,angriness,6,listen people angry real truth comes,listen people angry real truth comes,listen people angry real truth comes,listen peopl angri real truth come,6
dont fuck feelings youre unsure,angriness,5,dont fuck feelings your e unsure,do not fuck feelings your e unsure,do not fuck feelings your e unsure,do not fuck feel your e unsur,7
feelings dont worry else,angriness,4,feelings dont worry else,feelings do not worry else,feelings do not worry else,feel do not worri el,5
man big things make angry,angriness,5,man big things make angry,man big things make angry,man big things make angry,man big thing make angri,5
didnt text exercise fingers expecting reply back,angriness,7,didnt text exercise fingers expecting reply back,did not text exercise fingers expecting reply back,did not text exercise fingers expecting reply back,did not text exercis finger expect repli back,8
hate cry frustrated people think hurt really trying kill,angriness,9,hate cry frustrated people think hurt really trying kill,hate cry frustrated people think hurt really trying kill,hate cry frustrated people think hurt really trying kill,hate cri frustrat peopl think hurt realli tri kill,9
dont usually lose temper get angry true scary,angriness,8,dont usually lose temper get angry true scary,do not usually lose temper get angry true scary,do not usually lose temper get angry true scary,do not usual lose temper get angri true scari,9
antisocial antibullshit,angriness,2,antisocial anti bullshit,antisocial anti bullshit,antisocial anti bullshit,antisoci anti bullshit,3
dont angry people dont capacity change,angriness,6,dont angry people dont capacity change,do not angry people do not capacity change,do not angry people do not capacity change,do not angri peopl capac chang,6
