stopword_clean_content,intensity,stopword_clean_count
know whats beautiful read first word,happiness,6
happiness perfume cannot pour others without getting drops,happiness,8
happy moment life,happiness,3
let smile change world dont let world change smile,happiness,9
best feeling world person like likes back,happiness,7
smile best medicine word please keep smile,happiness,7
keys happiness bad memory,happiness,4
expand happiness sharing larger rainbow brightly shines,happiness,7
smiling infectious catch like flu someone smiled today started smiling,happiness,10
anger towards past carry heart less capable loving present,happiness,9
happiness something postpone future something design present,happiness,7
brain beauty doesnt make best world beatiful thoughts beautify world,happiness,10
always believe something wonderful happen,happiness,5
next time think wonderful beautiful thing life dont forget include,happiness,10
happiness determined happening around rather happening inside people depend others gain happinessbut truth always comes within,happiness,16
finally let past something better comes along,happiness,7
noboday take away pain dont let anyone take aways happiness,happiness,10
simply seek happiness likely find seek create love without regard happiness likely happy much time,happiness,15
dear whoever reading youre beautiful someone crazy smile life short happy,happiness,11
best way cheer try cheer somebody else,happiness,7
live moments cant put words,happiness,5
soon trust know live,happiness,4
enjoy little things life youll day look back realize big things,happiness,11
reason happiness expect,happiness,3
important things life arent things,happiness,5
waste time getting hurt someone theres someone else waiting make happy,happiness,11
life gives hundred reasons cry show life thousand reasons smile,happiness,10
let past rob future new day chance make new beginning count blessings live gratitude love heart,happiness,16
always make smiling,happiness,3
wearing smile gave,happiness,3
happiness means love,happiness,3
reason someone smiles today,happiness,4
smile forgive way live,happiness,4
lower set expectations people less hurts disappoint,happiness,7
beautiful means dont need accepted others need accept,happiness,8
strong people know keep life order even tears eyes still manage say ok smile,happiness,14
think big thoughts relish small pleasures,happiness,6
happiness ready made comes actions,happiness,5
secret happiness love secret success loving,happiness,6
cannot pencil write anyones happiness yous hould least try nice rubber erase someones sadness,happiness,14
know life worth struggle look back lost realize much better,happiness,10
real smile comes,happiness,3
youre reason behind smile,happiness,4
lot people end unhappy make permanent decisions temporary emotions,happiness,9
many smiles begin,happiness,3
happiness last seen changes online typing,happiness,6
happiness life depends quality thoughts,happiness,5
busy watching whats ahead dont take time enjoy,happiness,8
thankful count blessings rather want,happiness,5
order live well must makes conscious decisions happy dont let liitle things life ruin day,happiness,15
smile make look betterpray keep strong love make enjoy life,happiness,10
always satisfied best,happiness,3
train mind see good everything,happiness,5
smile second best thing lips,happiness,5
happiness isnt destination journey choose take,happiness,6
spread love hate,happiness,3
cant buy happiness buy ice cream thats kind thing,happiness,9
sometimes existence give hope person smile make someone else smileso value,happiness,11
slept dreamt life joy woke saw life service acted behold service joy,happiness,12
good laugh long sleep best cures anything,happiness,7
every day given gift treat way,happiness,6
happiness life depends upon quality thouhtsbut quality thoughts depends persons meet life,happiness,12
never miss opportunity make others happy even leave alone order,happiness,10
cry forgive learn move let tears water seeds future happiness,happiness,10
many problems lifebut lips dont know always smile,happiness,8
deal problems deal happiness,happiness,4
choose thoughts carefully keep brings peace release brings suffering know happiness thoughy away,happiness,13
theres fun perfect life make risk take chance mind takes youhave fun,happiness,12
laugh alone world thinks youre idiot,happiness,6
stronger smarter mistakes happier sadness known wiser learned,happiness,8
sometimes greatest gifts life ones cannot see feel,happiness,8
think youre happy youe life always think someone happy simply exist,happiness,11
faith keeps strong love keeps whole happiness keeps alive dont downer happpy strong free alive,happiness,15
dont let sadness past fear future win happiness present,happiness,9
smile front people hate happiness kills,happiness,6
arent happy single never happy relationship get life fist share,happiness,10
dont wait good days live bad days good possible,happiness,9
dont need boy keep happy need,happiness,6
hate people say miss youbut dont make effort speak see,happiness,10
order stay happy life get rid things make unhappy,happiness,9
key achieve inner happiness strive make someone else happy instead trying make happy time,happiness,14
laugh apologize wen let cant change,happiness,6
happy people dont necessarily best everything must make best everything,happiness,10
everything life happens reason stop worrying reason live happens,happiness,9
love want need accept yoru recieve give forgive cant bless see light,happiness,12
whatever makes feel bad leave whatever makes smile keep,happiness,9
smile whole world stop stares,happiness,5
long looking back past never see whats ahead,happiness,8
begining end dreams plans life journey moment moment live moment fullest,happiness,11
smile others smile back,happiness,4
kindness meaningful form progress,happiness,4
play moments pause memories stop pain rewind happiness,happiness,8
simplest ways stay happy let things make sad,happiness,8
naughty nature wild choice,happiness,4
key happiness forgetting past,happiness,4
believe love marriage necessarily person,happiness,5
without permission touch wipe tears,happiness,5
easy,happiness,1
kiss magically delicious,happiness,3
finally realized need thought,happiness,4
secret tell everyone tell anyone else,happiness,6
never place key happiness pocket another,happiness,6
happiness temporarily escapes wilderness sometimes returns fill soul,happiness,8
inner soul indulges true happiness feed,happiness,6
dont analyze happiness let flow without analyzing rationality,happiness,8
people chose certain miserable state rather leaping risk happy,happiness,9
way spark soul journey happiness sparking light anothers happiness,happiness,9
quit trying happy missing good times,happiness,6
birthday quotes boyfriend,happiness,3
happiness sparks mind settled sparks random spurts,happiness,7
many wish share misery indulge happiness,happiness,6
happiness cannot commanded life program delete unhappy brands blocking access paths,happiness,11
laughing without cause passionate expressions true happiness,happiness,7
apology quotes apologize quotes,happiness,4
tune happiness life song happy melodies,happiness,6
officially certified graduated earn happiness,happiness,5
count troubles away delve countless joys,happiness,6
start aware wonderful life past tense awaken present,happiness,8
birthday quotes boyfriend,happiness,3
happiness miles away right side clinging grasp,happiness,7
moment exploring anticipation clinch happiness beyond final cave,happiness,8
differing selffulfillment paths taken others road mean lost,happiness,8
questioning brings happiness difficult answer wealth failed poverty failed sadness happiness parallel trails time pause intervene space,happiness,17
attempt reversal life puzzle begin trying build wealth assets happy correct path first find true happiness order grow abundance,happiness,19
new relationship quotes,happiness,3
man strives happy leaving pathway happiness impossible,happiness,7
serve happiness wants elegantly,happiness,4
reap enjoy happiness harvest,happiness,4
hold head high straighten shaking depression bubbles air away,happiness,9
crush quotes crushing quotes,happiness,4
pleasure earth comes stray packages waiting seized,happiness,7
dont fade away precious moments making mind happy letting,happiness,9
happiness realm true courage,happiness,4
fit bear burdens great joy seep tranquil pleasure,happiness,8
happiness finally getting something desired appreciating already,happiness,7
compassion key happiness others,happiness,4
happiness seed roots blooming bliss,happiness,5
moments world right gentle heavenly wave soul journey,happiness,8
happy childhood never expires embraced time,happiness,6
happiness good health poor memory eliminates lifes failures,happiness,8
love laughter health abundance tinge luck joy happiness,happiness,8
happiness byproduct goal,happiness,3
happiness location direction,happiness,3
outward beautification needs soul happiness expression resonate,happiness,7
true cosmetic beauty happiness,happiness,4
happy devour enjoyment scenery detour route,happiness,6
happy person true formula stay happy,happiness,6
obstacle kerbing happiness expecting much,happiness,5
sculpt away misery engraving happiness golden flame life,happiness,8
happy thoughts seeds sow positivity abundance,happiness,6
happiness ideal imagination reason,happiness,4
heart filled joy worth pocket coins,happiness,6
happiness limited direction spreads life quarters,happiness,6
satisfaction overdose leaves bloated happiness,happiness,5
loses happiness wishing happiness,happiness,4
avoid misery sufficient leisure wonder state happiness,happiness,7
basic right pursue happiness grab waits path create happiness desire,happiness,10
bliss comes chase chasing futile exhausting path,happiness,7
root unhappiness futile search gaining happiness,happiness,6
content blessing disguised,happiness,3
happiness nest love,happiness,3
postpone happiness temporary phase interwoven eternal blessings,happiness,7
position control world control reactions life encounters choose happiness,happiness,9
happiness prevails present revives new day presence,happiness,7
happiness form spiritual harmonious spring want stop feeling,happiness,8
good exercise jump joy,happiness,4
happiness joyful feast even first course misery gulped away,happiness,9
enjoy sound centered soul harmonious bliss happiness,happiness,7
route happiness many get detoured curved direction,happiness,7
happiness contagious sparking spread glow many,happiness,6
happiness needs spread wings grow every facet enclosed clung perception limited enclosure,happiness,12
happiness ordinary everyday consciousness without concentration self concern,happiness,8
greatest gift love simply happy,happiness,5
may always happy always spread happiness,happiness,6
happiness ruined moments great catastrophes repetition minute habits,happiness,8
twinge happiness scatters mass multitude grief,happiness,6
happiness produced consumed,happiness,3
miserable perceive misery created seeds sprouted thoughts negativity,happiness,8
happiness core wisdom,happiness,3
happiness task inner soul,happiness,4
unhappiness aspiring lost cause get unknown wants,happiness,7
happy present happiness cease,happiness,4
happiness attached price tags,happiness,4
state calmness serenity inner peace overwhelms painful outer experiences,happiness,9
happiness clustered limited letting expand preciousness,happiness,6
valuing joy merit others lead happiness,happiness,6
without pain know happiness,happiness,4
happiness thoughts messages actions order,happiness,5
happiness owning earning consuming gratitude love grace spiritual reality,happiness,9
gathering crumbs happiness creates full loaf contentment,happiness,7
happiness harmony men course life,happiness,5
happiness troubled mind pain body,happiness,5
need make happy enthusiastic aspiration,happiness,5
happiness occurs naturally seldom result circumstances,happiness,6
joy pain melts away,happiness,4
unhappiness either unwholesome food severe labor erring life habits,happiness,9
many people miss bliss happiness stop embrace enjoy,happiness,8
grateful harvest garden happiness makes soul blossom,happiness,7
every minute anger sixty seconds happiness lost,happiness,7
happiness choice conscious automated response,happiness,5
useful happy else incidental,happiness,4
counting blessings paramount key unlock door happiness,happiness,7
happiness soul journey,happiness,3
past gone future yet need embrace present,happiness,7
best route awareness realization knowing problems actually point blaming family government pastor prayed bringing results springing happiness control destiny,happiness,19
happiest world fully love accept responsibility every life aspect,happiness,9
optimism magnet happiness staying positive attract best,happiness,7
practicing true compassion brings immediate happiness long lasting,happiness,8
happiness living day first honeymoon day last vacation day,happiness,9
happiness choice happy chose,happiness,4
must learn let life carefully planned motion life waiting pathway,happiness,10
freedom prefer happiness liking chosen,happiness,5
spending lifetime anticipating preparing storm seize moments lay back devour sunshine,happiness,11
day new beginning new chapter start afresh new spark forget happen focus,happiness,12
aim better person aim better,happiness,5
happiness piece lost puzzle selfcreated,happiness,5
choose live life miracle everything around,happiness,6
chase happiness eludes like butterfly rest shoulder pursuing capture,happiness,9
happy mean perfect means chosen look beyond imperfections,happiness,8
whether anger frustration jealousy joy universe gifts enjoyment growth,happiness,9
journey life fall love love journey life always love life,happiness,10
happiness direction place thing make happy happy,happiness,7
happiness letting think life supposed look like,happiness,7
success key happiness happiness key success,happiness,6
want happy set goal manages thinking expresses strengths inspires hopes,happiness,10
figure esteem means battling satisfaction,happiness,5
much rich gives much,happiness,4
tool hammer tend see every problem nail,happiness,7
may also like best attitude status quotes whatsapp,happiness,8
distance madness talent measured success,happiness,5
never confine limited imagination others never limit others limited imagination,happiness,10
happiness something readymade comes actions,happiness,5
happiness sadness run parallel rests begins tingle purpose lives happy,happiness,10
happiness goal byproduct,happiness,3
pursuit happiness main sources hunger,happiness,5
love everything need,happiness,3
succeed life need things ignorance confidence,happiness,6
dont wait time never right,happiness,5
every difficulty ask questions right would differently,happiness,7
dont brood get living loving dont forever,happiness,7
best moment puts best place next moment,happiness,7
lifes real failure realize close success gave,happiness,7
youre going hell keep going,happiness,5
happiness find rarely look,happiness,4
miserable motivate everything always choice,happiness,5
first step success refusing prisoner environment first find,happiness,8
dont miss awesome status english,happiness,5
attitude important ability success,happiness,4
judge success give order get,happiness,5
spread love everywhere let ever come without leaving happier,happiness,9
cosmetic beauty like happiness,happiness,4
happiness think say consistent,happiness,4
happiness life depends upon quality thoughts,happiness,6
happiness always looks small hold hands let learn big precious,happiness,10
ups downs victories defeats sadness happiness thats best kind life,happiness,10
action key success,happiness,3
victory sweetest youve known defeat,happiness,5
success simple right thing right time,happiness,6
work discover world heart,happiness,4
achievement rule goes individuals excessively occupied,happiness,6
success largely matter holding others let,happiness,6
start use,happiness,2
success seems connected action successful people keep moving make mistakes dont quit,happiness,12
embarrassed failures learn start,happiness,4
cant give formula success give formula failure try make everyone happy,happiness,11
success going failure failure without losing enthusiasm,happiness,7
think simple task powerful keep going,happiness,6
successful man finds matter business competitors,happiness,6
learn rules game point need play better person,happiness,8
amateurs sit wait inspiration rest get work,happiness,7
dont interfere cant,happiness,3
life isnt finding life creating,happiness,5
success high jump hit bottom,happiness,5
ever tried ever failed matter try fail fail better,happiness,9
seems bitter trials often blessings disguise,happiness,6
attitude aptitude determine altitude,happiness,4
successful warrior average man laserlike focus,happiness,6
real smile comes,happiness,3
love trust honesty long lasting relationship,happiness,6
life hurt broke always made smile,happiness,6
see future let give clue,happiness,5
sometimes words enough,happiness,3
man truly loves angry many things never leave,happiness,8
love sweet new sweeter true,happiness,5
love blind careful,happiness,3
best love story fall love unexpected person,happiness,7
nice someone cares much care,happiness,5
dudeyou lucky got step treat right wont long,happiness,8
seeing smile makes feel better inside,happiness,6
love name ofrespectif cant respect lovedonethen dont deserve beloved,happiness,9
every girl needs good guy help laugh thinks never smile,happiness,10
memory true love like favorite song matter many times plays never get tired,happiness,13
every girl deserves boy change life relationship status,happiness,8
dont need perfect relationship need someone wont give,happiness,8
laugh little louder cry lot less smile lot,happiness,8
call old fashioned actually take relationships seriously,happiness,7
love sweet new sweeter true,happiness,5
hate facebooks always asking mind coz always wont share,happiness,9
relationships takes people person faithful another acting single,happiness,8
sitting alone enjoying company better surrounded fake people,happiness,8
everybody knows love people know stay love person forever,happiness,9
love dont ever make cry,happiness,5
may perfect original,happiness,3
communicationtrust relationship last lifetime,happiness,4
want cute long lasting relationship,happiness,5
single text change mood moment,happiness,5
relationships like drugs either kill give best feeling life,happiness,9
day without always incomplete,happiness,4
first care get hurt,happiness,4
good relationships dont happen take time patience people truly want together,happiness,11
every girls life theres boy shell never forget every boys life theres girl never get,happiness,15
relationships start talk end need talk,happiness,6
love hold like never let,happiness,5
even though million miles away always together,happiness,7
get mad care,happiness,3
love doesnt depend sight sound heart beats,happiness,7
want vitamin,happiness,2
girlfriend gorgeous loyal flirt girls cheat like throwing away diamond picking rock,happiness,12
heart perfect inside,happiness,3
want honest relationship secrets lies cheating,happiness,6
whatever question answer love,happiness,4
happiest couples never character best understanding differences,happiness,7
nice lips kiss,happiness,3
saying moved still feeling something suddenly see person,happiness,8
best relationships usually begins unexpectedly,happiness,5
broken heart changes people,happiness,4
never hurt popular lies,happiness,4
crazy months years without talking someone still cross mind everyday,happiness,10
really love person wouldnt even think cheating,happiness,7
make relation someone proud take every risk,happiness,7
wont give,happiness,2
real men dont date beautiful girl world date girl makes world beautiful,happiness,12
beauty isnt pretty face pretty mind pretty heart pretty soul,happiness,10
distance means nothing someone means everything,happiness,6
judge people time love mother teresa,happiness,6
love,happiness,1
cheer sweet beautiful girl going love magnificent,happiness,7
sometimes love like cactus tighter try hold hurts,happiness,8
friends less couple,happiness,3
heart always,happiness,2
true relationship someone accepts past supports present loves encourages future,happiness,10
love hate way act sometimes,happiness,5
hardest thing talking someone used talk everyday,happiness,7
dont mean anything mean everything,happiness,5
distance test see far love really,happiness,6
behind every beautiful girl ugly relationship made scared love,happiness,9
close anymore doesnt mean dont care,happiness,6
relationships sit around nothingbut still fun youre together,happiness,8
dont make option made priority,happiness,5
love like circle end,happiness,4
main rules relationships dont lie dont cheat dont make promises cant keep,happiness,12
dear ladies takes time argue cares think,happiness,7
met talked liked called texted dated committed loved cheated done youre deleted,happiness,12
real boyfriend never gives girl fights,happiness,6
always someone loves know,happiness,4
loyal always seems like loyal wrong people,happiness,7
people get suspicious trust disappears,happiness,5
love first everything else falls line,happiness,6
every reason every hope every dream ever,happiness,7
true love doesnt happy endingbecause true love never ends,happiness,9
looks arent everything find heart love worst arms hold weakest,happiness,10
girls want guy say love every night proves every day,happiness,10
thinking someone studying youre definitely love,happiness,6
relationship far want,happiness,3
maybe dont perfect relationship fought argue cry commit mistakes similarities love,happiness,11
texting fine calling okay best,happiness,5
true love doubts jealousy worries life good,happiness,7
ignoring waiting talk first,happiness,4
last seen check last seen,happiness,5
need someone actually stand side matter mood,happiness,7
jump reationship clearly last thats fair person,happiness,7
enjoy every moment spend,happiness,4
love youre ready alone,happiness,4
want someone comes life accident stays purpose,happiness,7
mom told angels heaven earth,happiness,5
relationship starts talk ends need talk,happiness,6
want someone scared lose would anything keep,happiness,7
love crime want wanted criminal,happiness,5
billions people world sometimes really need,happiness,6
listen little heart always says name every heartbeat,happiness,8
love isnt complicated people,happiness,4
life need,happiness,2
dont need geography world,happiness,4
accept strongest support weakest,happiness,4
love greatest refreshment life,happiness,4
real man cant stand seeing woman hurt careful decisions actions never responsible pain,happiness,13
love dear every beat heart,happiness,5
heart mine forever,happiness,3
best feeling first kiss,happiness,4
true love thing makes cry seeing care unhappy,happiness,8
love less love long,happiness,4
dont promise moon stars promise stay forever,happiness,7
fire like love keeps warm sometimes youll get burned,happiness,9
person always feelings matter look takes right back memories,happiness,9
sometimes pretend dont care really care anyone else ever,happiness,9
story history story mystery,happiness,4
love bird let fly,happiness,4
sometimes want romantic relationship like movies,happiness,6
true love doesnt mean inseparable means separated nothing changes,happiness,9
typing huge paragraph true feelings erasing typing yeah,happiness,8
best relationship lay next talk anything everything,happiness,7
love much say love much prove true,happiness,7
love blind beautiful,happiness,3
sometimes dont know really feelings game,happiness,6
relationship act like complete idiots together sweetest thing ever,happiness,9
wait boy would anything everything,happiness,5
laughing kissing means completely comfortable,happiness,5
cant friends someone youre madly love,happiness,6
dont ask much everything,happiness,4
hardest part acting like dont care knowing much actually,happiness,9
true love habbit coming back,happiness,5
need love,happiness,2
love master key opening gate happiness,happiness,6
live without money cannot live without love,happiness,7
need like heart needs beat,happiness,5
love strange sometimes becomes reason live life sometimes becomes reason leave life,happiness,12
best feeling comes get text person thinking,happiness,7
think love dont even know,happiness,5
relationships fail girls love much boys love many,happiness,8
still care problem,happiness,3
love love love,happiness,3
god asks include among love,happiness,5
think perfect hugs someone hugs without asking,happiness,7
shortest word sweetest word love word,happiness,6
best feeling look love theyre already looking,happiness,7
love heart destiny,happiness,3
kiss biting lip,happiness,3
true love tolerate outsiders,happiness,4
dont play someones heart intention serious relationship,happiness,7
love loves love,happiness,3
fall love chance stay love choice,happiness,6
youre like drug thats killing,happiness,5
without trust dont relationship friends act like lovers,happiness,8
different,happiness,1
first anything last,happiness,3
admit get jealous youre talking someone else instead,happiness,8
every relationship problems makes perfect still want everything sucks,happiness,9
like smile love reason,happiness,4
dont need somebody tell love tell way treat,happiness,8
want long cute relationship everyone like damn theyre still together,happiness,10
come love finding perfect person learning see imperfect person perfectly,happiness,10
youre girl want grow old,happiness,5
want things see hug kiss,happiness,5
love today yesterday love less today tomorrow,happiness,7
love people straight honest feelings makes everything much easier,happiness,9
every time look keyboard always together,happiness,6
borrow kiss promise ill give back,happiness,6
person hates loves,happiness,3
dont even know like,happiness,4
dont try understand girl completely either mad start loving,happiness,9
know experienced real love lost,happiness,5
true love never dies gets stronger time,happiness,7
apologizing doesnt mean wrong simply means value love friendship ego,happiness,10
really care someone happiness matters,happiness,5
love never explained,happiness,3
love begin end way seem think love battle love war love growing,happiness,12
give feeling,happiness,2
true love habit coming back,happiness,5
lost heart body see,happiness,4
dont give keys heart know lose love taking risks stupid,happiness,10
honestly dont time hate people hate cause busy loving people love,happiness,11
love feeling give want babe,happiness,5
dont fall love faces fall love personalities,happiness,7
dont want listen say want feel mean,happiness,7
dont really need someone complete need someone accept completely,happiness,9
come talk sweetness weakness,happiness,4
dont want much hugs kisses,happiness,5
faithful hard really care,happiness,4
love love cant together,happiness,4
dear heart please fall love youre ready youre lonely,happiness,9
love cute new love beautiful lasts,happiness,6
love never diesonly lover changes,happiness,5
love like drunk control,happiness,4
less open heart heart suffers,happiness,5
love way,happiness,2
love madness love,happiness,3
argue fightbut end night alright,happiness,5
girl happiest knows make everything front everyone every time,happiness,9
even million reasons move still look stay,happiness,7
hate fighting person makes smile,happiness,5
love stupid together,happiness,3
deep inside heart still feel need someone love care,happiness,9
left fine dont love somebody else front,happiness,7
fall love ready tears,happiness,4
believe hope pray love dont put life hold waiting love,happiness,10
love heart peace nerves truth mind,happiness,6
relationship god important relationship,happiness,4
sometimes push away need pull closer,happiness,6
shes amazingshe wont easyif shes easy wont amazing shes worth wont give give youre worth,happiness,15
way fill life love simple want love give love,happiness,9
love seeing couple fall love stay love rare days,happiness,9
dont want anyone else heart kiss lips arms love dont want anyone take place,happiness,14
even million fights could make hate,happiness,6
love need feel complete,happiness,4
love makes smile youre tired,happiness,5
love person really suffers without,happiness,5
know person must love,happiness,4
love heart beats faster,happiness,4
favorite reason lose sleep,happiness,4
person loves fight daily without reason,happiness,6
let done love,happiness,3
love something set free,happiness,4
truly love someone faithful easy,happiness,5
love true always find way,happiness,5
really want relationship long happy,happiness,5
dont know worse keeping love someone secret telling rejected,happiness,9
gravitation responsible people falling love,happiness,5
tell love actually love,happiness,4
best conversations usually happen late night,happiness,6
sometimes need maintain distance keep close,happiness,6
retweet following want follow back,happiness,5
honest ever spent much time effort,happiness,6
busy doesnt mean dont love,happiness,5
need need lets make work,happiness,5
love second ill love forever,happiness,5
type person want meet,happiness,4
forever long time wouldnt mind spending side,happiness,7
loves love lot,happiness,3
love never failwe fail love,happiness,5
cannot belong someone else belong,happiness,5
sometimes madly love someone dont need words describe,happiness,8
nice someone cares much care,happiness,5
love like wine want get drunk,happiness,6
loving isnt caretaking caretaking isnt love cant buy love gift,happiness,10
true love isnt love first sight love every sight,happiness,9
love like war easy begin hard stop,happiness,7
shaped fashioned love,happiness,3
love stars sky fish sea,happiness,5
true love doesnt happy ending ending,happiness,6
dont hate peoples love peoples loves,happiness,6
heart loves stays always young,happiness,5
girl describe word boy mine,happiness,5
love means exposing pain hurt someone trust,happiness,7
love begins smile grows kiss ends teardrop,happiness,7
idea happened know love,happiness,4
loves listen song relates sure feel,happiness,6
wish could love way love,happiness,5
taught love stop,happiness,3
far important form attention give loved listening,happiness,7
like flower gives fragrance even hand crushes,happiness,7
peopel love others make feel,happiness,5
touch love everyone becomes poet,happiness,5
cuddling would perfect right,happiness,4
tighter hug better feels,happiness,4
said truly fall love dont believe every time see fall love,happiness,11
love smile eyes laugh personality humor thing hate never,happiness,9
every girl needs good guy help laugh thinks shell never smile,happiness,11
idea much like much make smile much love talking much wish,happiness,11
someone truly loves sees mess moody get hard handle still wants,happiness,11
good relationship worth wait,happiness,4
either live love die way,happiness,5
count blessings count twice,happiness,4
talk fall love,happiness,3
love even hate,happiness,3
love yesterday love still always always,happiness,6
love thing control every single emotion,happiness,6
love never fails fails life love,happiness,6
wanna hug tightthat even air couldnt fill space,happiness,8
dont kiss behind garden love blind neighbours,happiness,7
day youll meet someone doesnt care past want future,happiness,9
incapable loving another unless love,happiness,5
hattered cease hatered haterd ceases love,happiness,6
jealousy love hate time,happiness,4
give man time good loves rather good order fulfill moral duty,happiness,11
wait boy would anything everything,happiness,5
everytime look keyboard always see together,happiness,6
another year still together always easy ill forever,happiness,8
love mind thinks heart feels,happiness,5
love many thingsnone logical,happiness,4
think youre millions youre million,happiness,5
want today tomorrow next week rest life,happiness,7
never buy lovebut still pay,happiness,5
love reveals things believes things endures things love never fails,happiness,10
would learn secret right relations look divine people things leave rest god,happiness,12
love sorry said,happiness,3
know love,happiness,2
spaces fingers meant filled mine,happiness,5
found love life closest truest friend,happiness,6
magic first love ignorance never end,happiness,6
love cant found doesnt exist,happiness,5
never hurt people love lot wont hurt back theyll probably choice leave forever,sadness,13
dont expect tell wrong cant figure ready correct itcos know mistake,sadness,11
preferred walking away fighting worth fighting never asked stay,sadness,9
moving forward life isnt hard part leaving behind someone thought meant move forward,sadness,13
never cry anyone life cry dont deserve tears deserving never let cry,sadness,12
seven billion people planet friends,sadness,5
know wont come back heart take life long time accept,sadness,10
habit talk someone daily day without talking feels like year passed,sadness,11
value person alive dont cry dead,sadness,6
magic songs sound happy listen song sad understand song,sadness,9
behind every flirty boy girl left alone reasons,sadness,8
dont get tired loving get tired waiting assuming hearing lies saying sorry getting hurt,sadness,14
hardest thing watch person love love someone else,sadness,8
never stop caring decide push away,sadness,6
hurts someone heart cant arms,sadness,5
show true feelings people find ways hurt,sadness,7
amazing someone break heart still love little broken pieces,sadness,9
less fortunate life nothing tragedy,sadness,5
countries islands seas billion people single,sadness,6
sad realize arent important someone thought,sadness,6
battles fought alonesome paths crossed alone never emotionally attached anyone never know walk alone,sadness,14
keep smiling day life become tired upsetting,sadness,7
never become daughter house theres mother,sadness,6
biggest mistakes ever made expecting happiness others,sadness,7
person topped inbox flashes people may know,sadness,7
everybodys online except actually want,sadness,5
take words seriously breaks heart find people dont actually mean say,sadness,11
sad moment realize childhood,sadness,4
life seems running road without shelter without sign board without destination,sadness,11
sometimes voice medicine diseases,sadness,4
worst feeling world knowing longer important,sadness,6
eassy say bussy someone needs youbut hard hear bussy need someone,sadness,11
dont realise lonely end day bunch things talk aboutbut listen,sadness,10
behind smile everything youll never understand,sadness,6
matter hard try matter many relationships get never replace lost,sadness,10
remember way used look notice way ignore,sadness,7
painful goodbyes ones never said never explained,sadness,7
never expect things happen better feel surprisedthan feel disappointed,sadness,9
dont understand still cry dont even think,sadness,7
sometimes song makes emotional people things come mind hear,sadness,9
hate went strangers friends close friends almost sumthing nothing,sadness,9
dont think know,sadness,3
makes best couple dad always create trouble,sadness,7
single wish would back moment kissed,sadness,6
sadness last seen changes online last seen without reply,sadness,9
distance solution reduce complications want maintain distance eternity,sadness,8
tears last gift true love,sadness,5
tired making fake smile,sadness,4
didnt want forget,sadness,3
funny people willing lots brave things yet still choose someone cant even offer half others could,sadness,16
sometimes silence much better talking least dont hurt,sadness,8
feelings dont walk away people,sadness,5
silence powerful scream,sadness,3
important part moving letting,sadness,4
die tomorrow miss,sadness,3
dont cry person doesnt know value tears,sadness,7
still care problem,sadness,3
please dont interrupt ignoring,sadness,4
missing someone hurts whats hurts even knowing reason theyre gone,sadness,10
get appreciation nice people notice become bad,sadness,7
people think bad talking quiet really worry,sadness,7
know persons heart way treat pets,sadness,6
would much easier dissapearsave everyone trouble,sadness,6
ok wondering ok wont long time,sadness,6
breaks heart pieces knowing forget things remember forever,sadness,8
bruises away eventually even pain caused memory happened wont,sadness,9
worst feeling world know love still cant together,sadness,8
may smile may laugh deep heart pain youll never guess,sadness,10
tell people ok tell fine look mirror laugh cry know lie,sadness,11
talk make better makes heart break even everyday,sadness,8
surrounded many people love mebut yet alonewhy thereli,sadness,8
emotionallyi donementallyi drainedspirituallyi deadand yet physicallyi smile,sadness,7
crop pictures took togetherbut never crop memories shared,sadness,8
worst things happen person forgotten someone never forget,sadness,8
relationship make better person wrong person,sadness,6
better far forget smile remember sad,sadness,6
mostly scars people cant see hurt also take longest heal,sadness,10
wish could escape place somewhere feelings thoughts wont able haunt,sadness,10
took seeing life like without know want sorry ever hurting,sadness,10
every time take step forward life get pushed steps backam walking backwards,sadness,12
sometimes dont say powerful say,sadness,5
smile day cry night hoping pain away,sadness,7
think finally happy want break cry think dont deserve,sadness,9
hold back tears hide smile cant hide hole heart,sadness,9
day may realise lost diamond busy collecting stones,sadness,8
love best feeling world heart hurt much,sadness,7
like pretend okay wanna annoy people problems,sadness,7
always tears measure pain sometimes smile fake,sadness,7
think things going smoothly couldnt get better devil jumps screws everything,sadness,11
guess say true everything happens reason,sadness,6
longer alone want stay way,sadness,5
funny ones look ones hurt,sadness,5
actions blinded eyes voice falls deafened ears,sadness,7
surrounded many people love mebut yet alonewhy,sadness,7
dont sad smile happened,sadness,4
smiling doesnt mean life perfect,sadness,5
life isnt perfect thankful everything,sadness,5
sad moment find old conversation someone dont talk anymore,sadness,9
single moment misunderstanding poisonous makes forget hundred lovable moments spent together within minute,sadness,13
much trust sometimes kills,sadness,4
weakness care much,sadness,3
cant trust someone friends everyone,sadness,5
knw blocked still luv watch blank profile,sadness,7
think afraid happy whenever get happy something bad always happens,sadness,10
push away promise wont find left heart big big enough deal people decide love convenient,sadness,15
lie lie matter big small,sadness,5
tears last gift true love,sadness,5
sometimes feels good sit yourselfrelax talk anyone,sadness,7
sorry good enough tried,sadness,4
sorry heart listening brain time know better,sadness,7
really care care someone else never care,sadness,7
ill never hurt lie,sadness,4
expectations break relations,sadness,3
sometimes say okay want someone look eyes hug tight say know youre,sadness,12
feel like everything wrong,sadness,4
sometimes people fall apart realize much need fall back together,sadness,10
smile face doesnt mean life perfect,sadness,6
sad happy alone,sadness,3
hope meet,sadness,2
moments life words,sadness,3
